m/z,var_m/z,max_int,sum_int,RT,minRT,maxRT,part_ID,EIC_ID,peak_ID,Score
105.0422846,2.52E-10,55902516,137149244,1196.12,1193.1,1198.6,980,1320,800,0
786.6002655,1.79E-07,54905152,112487871,224.348,218.534,251.421,12089,12347,12219,0
242.6418584,7.60E-09,54032300,208900521.4,785.562,746.736,814.741,3756,4273,4220,0
733.5566881,1.13E-07,53315880,112974466.4,230.688,224.348,248.374,11329,11631,11662,0
149.0638065,4.19E-09,52926352,123770552.3,601.776,596.678,615.171,1867,2301,1915,0
143.0485134,3.19E-09,52702676,99454213.28,609.268,604.658,622.214,1722,2146,1741,0
335.1057622,2.97E-08,51755780,117983118.6,208.634,200.478,251.421,5822,6361,6514,0
205.1262563,1.31E-08,51586916,172851735,615.171,604.658,641.304,3007,3499,3325,0
759.5725882,6.13E-07,50633264,93655246.02,227.656,218.534,256.974,11658,11939,11882,0
449.3371964,3.58E-07,49512036,86373417.13,175.162,164.743,185.057,8094,8575,8780,0
231.1338069,2.97E-08,48447780,85200713.77,631.736,626.103,638.555,3516,4027,3965,0
130.0498886,5.14E-09,48093204,161123686.4,565.247,554.139,573.966,1468,1867,1414,0
114.0661533,5.61E-10,47315528,199694043.9,504.958,491.327,520.075,1139,1488,967,0
235.1650726,9.48E-09,45935032,110249697.4,599.566,594.331,604.658,3593,4109,4046,0
309.1289455,5.81E-09,45427660,98067373.94,599.566,591.041,605.979,5216,5763,5905,0
441.1759745,6.52E-08,44251260,126079022.9,669.738,662.031,681.249,7940,8426,8619,0
144.9274018,1.09E-09,43466892,1100907585,1154.63,1064.08,1187.73,1758,2183,1778,0
367.0936462,2.14E-09,42485652,129156265,534.512,525.343,534.512,6538,7067,7202,0
226.9877243,1.63E-09,42311732,148394844,1229.94,1227.46,1235.18,3422,3932,3839,0
251.0363655,1.37E-08,41144824,55449571.8,609.268,605.979,615.171,3922,4439,4420,0
185.0765686,1.13E-09,40996564,168381327,665.048,654.542,672.218,2586,3063,2796,0
367.0937413,3.02E-09,40559288,219486478.7,274.773,259.609,276.993,6538,7067,7203,0
394.2894389,9.83E-08,40556024,64395024.48,185.057,178.461,218.534,7102,7618,7792,0
309.0942165,2.42E-07,40419456,100644179.3,596.678,591.041,605.979,5214,5762,5903,0
226.9877472,1.86E-09,39845000,74944416,1224.98,1221.83,1224.98,3422,3932,3840,0
704.5219455,1.92E-07,39645724,89283579.73,233.587,227.656,251.421,10911,11247,11283,0
226.9876785,8.54E-10,39059236,145730272,1213.44,1210.55,1218.54,3422,3932,3841,0
367.1398756,2.46E-06,37615188,112110790.2,665.048,652.809,672.218,6540,7069,7205,0
730.5377586,4.34E-08,37475264,86431100.33,230.688,224.348,253.657,11291,11598,11629,0
392.287529,4.29E-08,37140616,56487630.3,175.162,164.743,198.253,7069,7581,7756,0
132.1018728,7.76E-11,37047780,99358460,615.171,615.171,619.73,1507,1915,1490,0
515.213089,8.38E-09,36214516,72185186.5,669.738,667.527,674.698,9004,9442,9592,0
133.0971275,6.93E-10,36202888,206971879.6,1003.6,986.848,1033.35,1529,1939,1524,0
761.5876017,1.58E-06,35709144,72186031.56,227.656,218.534,266.215,11687,11969,11899,0
316.1630402,1.04E-08,35321936,116558962.8,672.218,665.048,681.249,5412,5961,6080,0
703.5744019,3.01E-07,35182120,38011328.64,259.609,253.657,271.744,10903,11240,11277,0
90.054953,2.95E-10,35048200,138913626,676.907,672.218,695.557,727,1033,537,0
293.1451538,3.38E-08,34750964,69075462.13,662.031,654.542,665.048,4847,5385,5493,0
445.2329292,4.10E-07,34567660,64854858.54,191.652,188.355,208.634,8022,8503,8700,0
175.1076279,1.40E-09,34512456,90382493.2,649.013,633.677,654.542,2366,2831,2523,0
393.158926,7.05E-08,34034644,99040442.59,208.634,202.979,253.657,7081,7595,7772,0
292.9593489,1.63E-08,33471170,404204693.3,1216.05,1134.4,1221.83,4833,5374,5485,0
223.0746063,4.72E-09,33357660,66271846.67,681.249,674.698,697.907,3348,3849,3732,0
183.0845195,7.72E-09,33326206,90793940.48,605.979,596.678,628.449,2540,3012,2736,0
166.0531701,6.70E-09,32970826,64445861.02,636.561,622.214,646.13,2188,2631,2267,0
74.06001173,2.41E-10,32841112,113798088.2,649.013,631.736,667.527,417,695,283,0
292.9594345,2.10E-09,32383412,119131162,1229.94,1227.46,1235.18,4833,5374,5486,0
223.0451584,3.80E-09,32272670,95011982,978.976,974.535,982.139,3346,3847,3727,0
243.1007538,2.33E-09,32105096,48354588.34,612.556,609.268,619.73,3768,4285,4236,0
79.02118201,2.08E-10,31982838,202720277.2,307.185,287.253,331.711,526,814,360,0
233.1574432,1.99E-08,31933162,91748321.74,557.161,547.204,567.325,3548,4063,4000,0
