"","m/z","var_m/z","max_int","sum_int","RT","minRT","maxRT","part_ID","EIC_ID","peak_ID","Score"
"3280",875.708129882812,7.53253698348999e-06,934396.375,6929943.0234375,1568.8,1546.84,1577.83,5069,11247,11969,0
"3281",464.313494873047,1.23865902423859e-08,934089.0625,4314761.875,550.641,548.26,556.031,3119,6961,6680,0
"3282",948.929650878906,1.82837247848511e-06,932556.8125,3976111.4375,1847.98,1845.47,1855.22,5353,11821,12743,0
"3283",862.780540466309,8.82780711565699e-06,932268.0625,4576949.15625,1743.72,1731.2,1752.32,5035,11141,11834,0
"3284",818.572713216146,1.67762239774068e-06,931111.25,1691892.6875,1321.74,1319.79,1325.49,4896,10600,11011,0
"3285",686.533595493862,2.30790603728521e-07,930874.375,3778647.47070312,1073.56,1059.68,1076.48,4383,9046,8631,0
"3286",256.263311767578,1.11758708953857e-09,930806.8125,4260707.6875,553.921,552.079,559.582,1283,2691,2383,0
"3287",472.435882568359,2.54561503728231e-08,928799.25,3079553.75,805.637,801.447,807.6,3172,7071,6782,0
"3288",855.569173177083,1.05897585550944e-06,928344.5625,3439124.2109375,1153.59,1150.81,1163.85,5011,11074,11745,0
"3289",873.770467122396,1.34895245234172e-05,928247.625,3546722.953125,1746.36,1743.72,1756.52,5063,11228,11944,0
"3290",910.256423950195,2.54251062870026e-07,927312.375,2602670.90625,1468.65,1458.71,1468.65,5215,11560,12402,0
"3291",450.357659912109,5.00120222568512e-08,927121.9375,3179486.59375,1468.65,1452.22,1471.56,3029,6751,6455,0
"3292",920.846187591553,5.68999287982782e-06,926816.5,7546545.8203125,1736.48,1696.33,1743.72,5257,11643,12503,0
"3293",413.446429084329,1.79348075214554e-08,926810.125,9237736.875,910.981,908.574,940.773,2778,6086,5798,0
"3294",954.898044162326,2.55202046698994e-05,926376.25,3777948.6015625,1759.7,1741.22,1763.02,5371,11852,12793,0
"3295",780.756510416667,5.04683703184128e-06,926370.625,5080857.453125,1866.93,1850.35,1868.49,4792,10138,10230,0
"3296",733.617350260417,5.16250729560852e-05,925699.875,6489873.9375,1353.33,1345.77,1365.61,4594,9528,9335,0
"3297",813.782653808594,1.84476375579834e-05,925128.875,2001722.46875,1716.34,1702.43,1716.34,4884,10542,10890,0
"3298",619.578831263951,4.45615677606492e-07,924876.6875,4406775.09375,1446.09,1431.4,1448.58,4008,8498,8073,0
"3299",916.263952636719,1.70618295669556e-07,924368.75,2879879.109375,1657.76,1648.07,1661.07,5237,11610,12457,0
"3300",845.579254150391,1.45658850669861e-06,923542.8125,2184631.5,1237.91,1233.88,1239.45,4981,10949,11555,0
"3301",432.368146623884,4.92270503725324e-09,923539.5,5396502.8125,772.337,761.582,774.3,2899,6432,6141,0
"3302",218.919637552897,7.02479490260968e-09,922962.75,12408753.640625,216.87,190.364,254.145,874,1742,1486,0
"3303",360.362243652344,4.65661287307739e-10,922509.5,4206772.25,457.838,450.719,459.266,2354,5042,4728,0
"3304",464.3134765625,1.11758708953857e-08,922125.25,5079151.5,544.673,537.546,546.285,3119,6961,6681,0
"3305",967.916275024414,1.08291084567706e-05,921572.5,2487241.21875,1797.37,1794.45,1803.2,5393,11915,12872,0
"3306",345.299607126336,6.80246722628499e-08,921168.625,8194624.65917969,729.334,700.986,736.177,2218,4734,4402,0
"3307",686.579213460286,1.22698644797007e-06,919689.1875,4303861,1098.63,1091.94,1103.91,4384,9048,8635,0
"3308",955.9064453125,1.54700130224228e-05,919617.0625,2450325.09375,1792.08,1784.04,1794.45,5374,11858,12802,0
"3309",372.347086588542,1.26002465977388e-08,919602.3125,8334685,421.951,386.134,421.951,2467,5292,4979,0
"3310",809.629353841146,0.000278429438670476,919595.25,2434495.375,1347.31,1347.31,1353.33,4875,10487,10807,0
"3311",252.227954864502,3.17647520984922e-09,918476.0625,3684981.0625,6.07336,0.230477,15.9954,1224,2585,2259,0
"3312",399.325693766276,5.09123007456462e-09,917991.625,4680319.125,452.955,450.719,461.506,2670,5829,5522,0
"3313",664.681752522786,1.08095506827037e-06,917679.3125,3459693.71875,1568.8,1556.64,1572.13,4254,8844,8409,0
"3314",814.707763671875,6.17280602455139e-06,916782.75,1866490.125,1401.22,1401.22,1408.17,4886,10551,10910,0
"3315",818.587829589844,9.64254140853882e-06,916492.0625,3591468.9375,1427.5,1424.73,1436.84,4896,10601,11012,0
"3316",843.782145182292,2.03202168146769e-06,916309.4375,3777510.78125,1487.09,1477.78,1489.18,4978,10924,11512,0
"3317",1263.82729492187,7.55488872528076e-07,915378.5,3319121.21875,1422.2,1419.3,1429.32,5835,12448,13426,0
"3318",935.828639439174,1.09124396528516e-05,914508.75,4502249.21875,1736.48,1736.48,1754.96,5317,11753,12657,0
"3319",312.195487976074,7.06252952416738e-09,914173.125,3099229.1875,223.017,220.788,228.014,1862,3968,3624,0
"3320",814.703643798828,3.50301464398702e-06,913975.125,3016428.625,1377.43,1372.99,1379.66,4886,10551,10911,0
"3321",925.881140136719,0.000147358700633049,913602.375,3249449.125,1773.18,1773.18,1789.72,5281,11681,12557,0
"3322",851.536676580256,1.39664519916881e-07,913542.5625,7520133.9375,1661.07,1648.07,1677.88,4995,11018,11666,0
