LipidIon,Class,FattyAcid,Ion,Formula,ObsMz,Rt,Pol.,z,ObsMass,CalcMz,Grade
PG(16:2/18:1)+NH4,PG,(16:2/18:1),M+NH4,C40 H77 O10 N1 P1,762.528443,17.261726,P,1,762.5289915,762.5279635,B
PE(18:1/20:4)+H,PE,(18:1/20:4),M+H,C43 H77 O8 N1 P1,766.537397,20.296068,P,1,766.5379455,766.5381335,B
PE(18:1/20:3)+H,PE,(18:1/20:3),M+H,C43 H79 O8 N1 P1,768.5523,21.362137,P,1,768.5528485,768.5537835,B
PC(18:2p/18:1)+H,PC,(18:2p/18:1),M+H,C44 H83 O7 N1 P1,768.588548,20.923253,P,1,768.5890965,768.5901685,B
PE(18:0p/21:3)+H,PE,(18:0p/21:3),M+H,C44 H83 O7 N1 P1,768.589302,24.721666,P,1,768.5898505,768.5901685,B
PE(16:0p/23:2)+H,PE,(16:0p/23:2),M+H,C44 H85 O7 N1 P1,770.604401,25.393768,P,1,770.6049495,770.6058185,B
PG(18:1/18:2)-H,PG,(18:1/18:2),M-H,C42 H76 O10 N0 P1,771.518157,18.842254,N,1,771.5176085,771.5181615,B
PG(18:1/18:1)-H,PG,(18:1/18:1),M-H,C42 H78 O10 N0 P1,773.534177,19.411673,N,1,773.5336285,773.5338115,B
PE(18:1p/22:6)+H,PE,(18:1p/22:6),M+H,C45 H77 O7 N1 P1,774.541932,19.94559,P,1,774.5424805,774.5432185,B
PE(18:1p/22:5)+H,PE,(18:1p/22:5),M+H,C45 H79 O7 N1 P1,776.557889,21.041051,P,1,776.5584375,776.5588685,B
LPC(37:5)+H,LPC,(37:5),M+H,C45 H83 O7 N1 P1,780.584247,22.501979,P,1,780.5847955,780.5901685,B
PE(18:1p/22:3)+H,PE,(18:1p/22:3),M+H,C45 H83 O7 N1 P1,780.588675,23.192409,P,1,780.5892235,780.5901685,B
PE(18:0p/22:4)+H,PE,(18:0p/22:4),M+H,C45 H83 O7 N1 P1,780.589096,23.713921,P,1,780.5896445,780.5901685,B
TG(16:0p/14:0/16:0)+NH4,TG,(16:0p/14:0/16:0),M+NH4,C49 H98 O5 N1,780.741738,29.645281,P,1,780.7422865,780.7439505,B
ChE(26:1)+NH4,ChE,(26:1),M+NH4,C53 H98 O2 N1,780.758218,31.076898,P,1,780.7587665,780.7592055,B
PS(16:0/20:4)-H,PS,(16:0/20:4),M-H,C42 H73 O10 N1 P1,782.497969,19.040296,N,1,782.4974205,782.4977605,B
PC(18:4/18:0)+H,PC,(18:4/18:0),M+H,C44 H81 O8 N1 P1,782.566111,21.978548,P,1,782.5666595,782.5694335,B
PE(18:0p/22:3)+H,PE,(18:0p/22:3),M+H,C45 H85 O7 N1 P1,782.604403,24.758822,P,1,782.6049515,782.6058185,B
TG(16:0e/14:0/16:0)+NH4,TG,(16:0e/14:0/16:0),M+NH4,C49 H100 O5 N1,782.75535,29.363445,P,1,782.7558985,782.7596005,B
PS(16:0/20:3)-H,PS,(16:0/20:3),M-H,C42 H75 O10 N1 P1,784.51423,20.066884,N,1,784.5136815,784.5134105,B
PE(18:1p/22:1)+H,PE,(18:1p/22:1),M+H,C45 H87 O7 N1 P1,784.620995,26.588639,P,1,784.6215435,784.6214685,B
PS(18:1/18:1)-H,PS,(18:1/18:1),M-H,C42 H77 O10 N1 P1,786.530088,20.827962,N,1,786.5295395,786.5290605,B
PE(18:0p/22:1)+H,PE,(18:0p/22:1),M+H,C45 H89 O7 N1 P1,786.636568,27.111037,P,1,786.6371165,786.6371185,B
PG(18:1/18:2)+NH4,PG,(18:1/18:2),M+NH4,C42 H81 O10 N1 P1,790.55819,18.570777,P,1,790.5587385,790.5592635,B
PG(16:1/22:6)-H,PG,(16:1/22:6),M-H,C44 H72 O10 N0 P1,791.487817,16.314039,N,1,791.4872685,791.4868615,B
PG(18:1/18:1)+NH4,PG,(18:1/18:1),M+NH4,C42 H83 O10 N1 P1,792.573762,19.210996,P,1,792.5743105,792.5749135,B
PG(18:1/20:3)-H,PG,(18:1/20:3),M-H,C44 H78 O10 N0 P1,797.533565,19.144111,N,1,797.5330165,797.5338115,B
PG(18:1/20:2)-H,PG,(18:1/20:2),M-H,C44 H80 O10 N0 P1,799.549981,20.00568,N,1,799.5494325,799.5494615,B
SM(d20:0/18:1)+HCOO,SM,(d20:0/18:1),M+HCOO,C44 H88 O8 N2 P1,803.629244,23.743698,N,1,803.6286955,803.6283795,B
PS(16:0/22:6)-H,PS,(16:0/22:6),M-H,C44 H73 O10 N1 P1,806.498596,18.31691,N,1,806.4980475,806.4977605,B
TG(18:0p/14:0/16:1)+NH4,TG,(18:0p/14:0/16:1),M+NH4,C51 H100 O5 N1,806.758627,29.072537,P,1,806.7591755,806.7596005,B
PS(16:0/22:5)-H,PS,(16:0/22:5),M-H,C44 H75 O10 N1 P1,808.513963,18.895175,N,1,808.5134145,808.5134105,B
PE(18:1p/24:2)-H,PE,(18:1p/24:2),M-H,C47 H87 O7 N1 P1,808.621483,25.720991,N,1,808.6209345,808.6225655,B
TG(18:0p/14:0/16:0)+NH4,TG,(18:0p/14:0/16:0),M+NH4,C51 H102 O5 N1,808.774095,29.795437,P,1,808.7746435,808.7752505,B
PG(16:1/22:6)+NH4,PG,(16:1/22:6),M+NH4,C44 H77 O10 N1 P1,810.527154,15.764686,P,1,810.5277025,810.5279635,B
PS(18:1/20:3)-H,PS,(18:1/20:3),M-H,C44 H77 O10 N1 P1,810.528873,20.007955,N,1,810.5283245,810.5290605,B
PS(18:0/20:4)-H,PS,(18:0/20:4),M-H,C44 H77 O10 N1 P1,810.530934,20.550914,N,1,810.5303855,810.5290605,B
PC(16:0p/20:4)+HCOO,PC,(16:0p/20:4),M+HCOO,C45 H81 O9 N1 P1,810.564707,20.103934,N,1,810.5641585,810.5654455,B
TG(18:0e/14:0/16:0)+NH4,TG,(18:0e/14:0/16:0),M+NH4,C51 H104 O5 N1,810.788744,30.329154,P,1,810.7892925,810.7909005,B
TG(16:0e/16:0/16:0)+NH4,TG,(16:0e/16:0/16:0),M+NH4,C51 H104 O5 N1,810.789397,30.854852,P,1,810.7899455,810.7909005,B
PG(18:1/20:5)+NH4,PG,(18:1/20:5),M+NH4,C44 H79 O10 N1 P1,812.543153,16.969143,P,1,812.5437015,812.5436135,B
PS(18:0/20:3)-H,PS,(18:0/20:3),M-H,C44 H79 O10 N1 P1,812.545275,22.162677,N,1,812.5447265,812.5447105,B
PC(18:0/20:3)+H,PC,(18:0/20:3),M+H,C46 H87 O8 N1 P1,812.614024,21.840577,P,1,812.6145725,812.6163835,B
PS(18:0/20:2)-H,PS,(18:0/20:2),M-H,C44 H81 O10 N1 P1,814.55869,23.538119,N,1,814.5581415,814.5603605,B
PG(18:1/20:3)+NH4,PG,(18:1/20:3),M+NH4,C44 H83 O10 N1 P1,816.573122,18.874323,P,1,816.5736705,816.5749135,B
PC(18:0p/18:1)+HCOO,PC,(18:0p/18:1),M+HCOO,C45 H87 O9 N1 P1,816.613376,23.081798,N,1,816.6128275,816.6123955,B
PG(18:2/22:6)-H,PG,(18:2/22:6),M-H,C46 H74 O10 N0 P1,817.503206,16.772958,N,1,817.5026575,817.5025115,B
PC(18:0e/18:1)+HCOO,PC,(18:0e/18:1),M+HCOO,C45 H89 O9 N1 P1,818.628155,24.53307,N,1,818.6276065,818.6280455,B
PG(18:1/22:6)-H,PG,(18:1/22:6),M-H,C46 H76 O10 N0 P1,819.5187,17.871429,N,1,819.5181515,819.5181615,B
PG(18:1/22:5)-H,PG,(18:1/22:5),M-H,C46 H78 O10 N0 P1,821.534478,18.425146,N,1,821.5339295,821.5338115,B
PS(18:0/21:3)-H,PS,(18:0/21:3),M-H,C45 H81 O10 N1 P1,826.560824,22.561958,N,1,826.5602755,826.5603605,B
SM(d22:1/18:1)+HCOO,SM,(d22:1/18:1),M+HCOO,C46 H90 O8 N2 P1,829.644951,23.448109,N,1,829.6444025,829.6440295,B
SM(d22:0/18:1)+HCOO,SM,(d22:0/18:1),M+HCOO,C46 H92 O8 N2 P1,831.660636,24.991178,N,1,831.6600875,831.6596795,B
SM(d22:1/18:0)+HCOO,SM,(d22:1/18:0),M+HCOO,C46 H92 O8 N2 P1,831.660654,25.621797,N,1,831.6601055,831.6596795,B
PS(18:1/22:6)-H,PS,(18:1/22:6),M-H,C46 H75 O10 N1 P1,832.514435,18.220114,N,1,832.5138865,832.5134105,B
SM(d18:1/26:5)+H,SM,(d18:1/26:5),M+H,C49 H90 O6 N2 P1,833.648565,23.872551,P,1,833.6491135,833.6531025,B
SM(d22:0/18:0)+HCOO,SM,(d22:0/18:0),M+HCOO,C46 H94 O8 N2 P1,833.670443,25.889008,N,1,833.6698945,833.6753295,B
PS(18:0/22:6)-H,PS,(18:0/22:6),M-H,C46 H77 O10 N1 P1,834.529745,19.927032,N,1,834.5291965,834.5290605,B
TG(16:0p/16:0/18:1)+NH4,TG,(16:0p/16:0/18:1),M+NH4,C53 H104 O5 N1,834.78897,29.554922,P,1,834.7895185,834.7909005,B
TG(14:0e/18:1/18:1)+NH4,TG,(14:0e/18:1/18:1),M+NH4,C53 H104 O5 N1,834.789075,29.259622,P,1,834.7896235,834.7909005,B
PS(18:0/22:5)-H,PS,(18:0/22:5),M-H,C46 H79 O10 N1 P1,836.544785,20.474587,N,1,836.5442365,836.5447105,B
PC(18:1p/20:4)+HCOO,PC,(18:1p/20:4),M+HCOO,C47 H83 O9 N1 P1,836.579799,19.280144,N,1,836.5792505,836.5810955,B
TG(16:0e/16:0/18:1)+NH4,TG,(16:0e/16:0/18:1),M+NH4,C53 H106 O5 N1,836.804917,30.077293,P,1,836.8054655,836.8065505,B
SM(d18:1/26:3)+H,SM,(d18:1/26:3),M+H,C49 H94 O6 N2 P1,837.680522,26.476131,P,1,837.6810705,837.6844025,B
PG(18:1/22:6)+NH4,PG,(18:1/22:6),M+NH4,C46 H81 O10 N1 P1,838.558574,17.46326,P,1,838.5591225,838.5592635,B
PS(18:0/22:4)-H,PS,(18:0/22:4),M-H,C46 H81 O10 N1 P1,838.560629,21.538502,N,1,838.5600805,838.5603605,B
PC(17:1/20:4)+HCOO,PC,(17:1/20:4),M+HCOO,C46 H81 O10 N1 P1,838.560782,18.703954,N,1,838.5602335,838.5603605,B
PC(18:0/22:4)+H,PC,(18:0/22:4),M+H,C48 H89 O8 N1 P1,838.629286,22.020123,P,1,838.6298345,838.6320335,B
TG(18:0e/16:0/16:0)+NH4,TG,(18:0e/16:0/16:0),M+NH4,C53 H108 O5 N1,838.819137,31.118583,P,1,838.8196855,838.8222005,B
PG(18:1/22:5)+NH4,PG,(18:1/22:5),M+NH4,C46 H83 O10 N1 P1,840.574282,18.536,P,1,840.5748305,840.5749135,B
PS(18:0/22:3)-H,PS,(18:0/22:3),M-H,C46 H83 O10 N1 P1,840.577214,22.906436,N,1,840.5766655,840.5760105,B
PC(18:0/22:3)+H,PC,(18:0/22:3),M+H,C48 H91 O8 N1 P1,840.645772,23.617171,P,1,840.6463205,840.6476835,B
PG(20:4/22:6)-H,PG,(20:4/22:6),M-H,C48 H74 O10 N0 P1,841.503642,16.034118,N,1,841.5030935,841.5025115,B
SM(d18:1/26:1)+H,SM,(d18:1/26:1),M+H,C49 H98 O6 N2 P1,841.714379,27.435277,P,1,841.7149275,841.7157025,B
PC(18:1/18:2)+CH3COO,PC,(18:1/18:2),M+CH3COO,C46 H85 O10 N1 P1,842.588751,23.653886,N,1,842.5882025,842.5916605,B
PG(20:2/22:5)-H,PG,(20:2/22:5),M-H,C48 H80 O10 N0 P1,847.549356,18.706231,N,1,847.5488075,847.5494615,B
SM(d22:0/20:3)+HCOO,SM,(d22:0/20:3),M+HCOO,C48 H92 O8 N2 P1,855.660434,24.003726,N,1,855.6598855,855.6596795,B
SM(d22:1/20:1)+HCOO,SM,(d22:1/20:1),M+HCOO,C48 H94 O8 N2 P1,857.676219,24.477918,N,1,857.6756705,857.6753295,B
PG(20:3/22:6)+NH4,PG,(20:3/22:6),M+NH4,C48 H81 O10 N1 P1,862.558614,16.837481,P,1,862.5591625,862.5592635,B
TG(18:0p/16:0/18:1)+NH4,TG,(18:0p/16:0/18:1),M+NH4,C55 H108 O5 N1,862.820192,29.987135,P,1,862.8207405,862.8222005,B
PG(20:2/22:6)+NH4,PG,(20:2/22:6),M+NH4,C48 H83 O10 N1 P1,864.572731,17.942814,P,1,864.5732795,864.5749135,B
TG(18:0e/16:0/18:1)+NH4,TG,(18:0e/16:0/18:1),M+NH4,C55 H110 O5 N1,864.836441,31.074623,P,1,864.8369895,864.8378505,B
PG(22:6/22:6)-H,PG,(22:6/22:6),M-H,C50 H74 O10 N0 P1,865.502907,15.926232,N,1,865.5023585,865.5025115,B
PG(22:5/22:6)-H,PG,(22:5/22:6),M-H,C50 H76 O10 N0 P1,867.518146,16.505295,N,1,867.5175975,867.5181615,B
PC(18:1/21:3)+HCOO,PC,(18:1/21:3),M+HCOO,C48 H87 O10 N1 P1,868.606076,22.101239,N,1,868.6055275,868.6073105,B
SM(d25:0/18:2)+HCOO,SM,(d25:0/18:2),M+HCOO,C49 H96 O8 N2 P1,871.69414,26.459856,N,1,871.6935915,871.6909795,B
PI(16:0/20:5)+NH4,PI,(16:0/20:5),M+NH4,C45 H81 O13 N1 P1,874.541493,17.859545,P,1,874.5420415,874.5440085,B
PC(18:2/22:6)+HCOO,PC,(18:2/22:6),M+HCOO,C49 H81 O10 N1 P1,874.559707,17.834294,N,1,874.5591585,874.5603605,B
PC(16:0e/24:1)+HCOO,PC,(16:0e/24:1),M+HCOO,C49 H97 O9 N1 P1,874.684183,27.783119,N,1,874.6836345,874.6906455,B
PI(16:0/20:3)+NH4,PI,(16:0/20:3),M+NH4,C45 H85 O13 N1 P1,878.574039,19.984872,P,1,878.5745875,878.5753085,B
SM(d22:0/22:3)+HCOO,SM,(d22:0/22:3),M+HCOO,C50 H96 O8 N2 P1,883.691748,24.744849,N,1,883.6911995,883.6909795,B
PG(22:6/22:6)+NH4,PG,(22:6/22:6),M+NH4,C50 H79 O10 N1 P1,884.542139,15.407342,P,1,884.5426875,884.5436135,B
SM(d22:0/22:2)+HCOO,SM,(d22:0/22:2),M+HCOO,C50 H98 O8 N2 P1,885.70802,26.146862,N,1,885.7074715,885.7066295,B
PG(22:5/22:6)+NH4,PG,(22:5/22:6),M+NH4,C50 H81 O10 N1 P1,886.557534,16.484405,P,1,886.5580825,886.5592635,B
PG(22:4/22:6)+NH4,PG,(22:4/22:6),M+NH4,C50 H83 O10 N1 P1,888.572137,17.111966,P,1,888.5726855,888.5749135,B
PC(26:6/18:0)+H,PC,(26:6/18:0),M+H,C52 H93 O8 N1 P1,890.662743,22.53445,P,1,890.6632915,890.6633335,B
TG(20:0p/16:0/18:1)+NH4,TG,(20:0p/16:0/18:1),M+NH4,C57 H112 O5 N1,890.85086,30.322293,P,1,890.8514085,890.8535005,B
TG(18:0e/18:1/18:1)+NH4,TG,(18:0e/18:1/18:1),M+NH4,C57 H112 O5 N1,890.852162,30.901054,P,1,890.8527105,890.8535005,B
TG(20:0e/16:0/18:1)+NH4,TG,(20:0e/16:0/18:1),M+NH4,C57 H114 O5 N1,892.86614,30.848054,P,1,892.8666885,892.8691505,B
PI(18:1/20:5)+NH4,PI,(18:1/20:5),M+NH4,C47 H83 O13 N1 P1,900.559072,17.476812,P,1,900.5596205,900.5596585,B
TG(16:0e/18:1/22:3)+NH4,TG,(16:0e/18:1/22:3),M+NH4,C59 H112 O5 N1,914.850887,30.366423,P,1,914.8514355,914.8535005,B
TG(18:0e/18:1/20:1)+NH4,TG,(18:0e/18:1/20:1),M+NH4,C59 H116 O5 N1,918.881834,30.225277,P,1,918.8823825,918.8848005,B
TG(12:0e/22:1/22:1)+NH4,TG,(12:0e/22:1/22:1),M+NH4,C59 H116 O5 N1,918.882969,30.903346,P,1,918.8835175,918.8848005,B
PI(18:1/22:6)+NH4,PI,(18:1/22:6),M+NH4,C49 H85 O13 N1 P1,926.573419,18.463896,P,1,926.5739675,926.5753085,B
PI(20:1/20:4)+NH4,PI,(20:1/20:4),M+NH4,C49 H89 O13 N1 P1,930.60251,20.235088,P,1,930.6030585,930.6066085,B
PI(18:0/22:5)+NH4,PI,(18:0/22:5),M+NH4,C49 H89 O13 N1 P1,930.605263,20.811693,P,1,930.6058115,930.6066085,B
TG(20:0/18:1/18:1)+NH4,TG,(20:0/18:1/18:1),M+NH4,C59 H114 O6 N1,932.862845,30.595235,P,1,932.8633935,932.8640655,B
TG(16:0e/18:1/24:1)+NH4,TG,(16:0e/18:1/24:1),M+NH4,C61 H120 O5 N1,946.912281,30.945054,P,1,946.9128295,946.9161005,B
TG(18:1/22:1/22:5)+NH4,TG,(18:1/22:1/22:5),M+NH4,C65 H116 O6 N1,1006.874406,29.361168,P,1,1006.874955,1006.879715,B
TG(28:4/18:1/18:1)+NH4,TG,(28:4/18:1/18:1),M+NH4,C67 H122 O6 N1,1036.923448,30.049153,P,1,1036.923997,1036.926665,B
TG(28:1/18:1/18:1)+NH4,TG,(28:1/18:1/18:1),M+NH4,C67 H128 O6 N1,1042.969406,30.500606,P,1,1042.969955,1042.973615,B
CerG3GNAc1(d18:1/16:0)+H,CerG3GNAc1,(d18:1/16:0),M+H,C60 H111 O23 N2,1227.755117,19.173955,P,1,1227.755666,1227.757219,B
CL(14:0/16:1/18:1/16:1)-H,CL,(14:0/16:1/18:1/16:1),M-H,C73 H135 O17 P2,1345.917445,28.161057,N,1,1345.916896,1345.918005,B
CL(18:2/16:1/16:1/16:1)-H,CL,(18:2/16:1/16:1/16:1),M-H,C75 H135 O17 P2,1369.920407,27.674786,N,1,1369.919858,1369.918005,B
CL(18:1/16:1/16:1/16:1)-2H,CL,(18:1/16:1/16:1/16:1),M-2H,C75 H136 O17 P2,685.463414,28.569276,N,2,1370.925731,685.463189,B
CL(16:1/16:1/16:1/18:1)-H,CL,(16:1/16:1/16:1/18:1),M-H,C75 H137 O17 P2,1371.934085,28.823049,N,1,1371.933536,1371.933655,B
CL(18:2/14:0/16:1/18:1)-H,CL,(18:2/14:0/16:1/18:1),M-H,C75 H137 O17 P2,1371.934328,28.255826,N,1,1371.933779,1371.933655,B
CL(17:1/16:1/18:1/16:1)-H,CL,(17:1/16:1/18:1/16:1),M-H,C76 H139 O17 P2,1385.949047,28.154225,N,1,1385.948498,1385.949305,B
CL(18:2/16:1/16:1/18:2)-2H,CL,(18:2/16:1/16:1/18:2),M-2H,C77 H136 O17 P2,697.463168,27.937505,N,2,1394.925239,697.463189,B
CL(18:2/16:1/18:2/16:1)-2H,CL,(18:2/16:1/18:2/16:1),M-2H,C77 H136 O17 P2,697.463211,27.72329,N,2,1394.925325,697.463189,B
CL(18:2/16:1/16:1/18:2)-H,CL,(18:2/16:1/16:1/18:2),M-H,C77 H137 O17 P2,1395.934718,27.721032,N,1,1395.934169,1395.933655,B
CL(18:2/16:1/18:1/16:1)-H,CL,(18:2/16:1/18:1/16:1),M-H,C77 H139 O17 P2,1397.947753,28.558034,N,1,1397.947204,1397.949305,B
CL(18:1/16:1/18:1/16:1)-2H,CL,(18:1/16:1/18:1/16:1),M-2H,C77 H140 O17 P2,699.478693,31.989061,N,2,1398.956289,699.478839,B
CL(17:1/18:2/18:2/16:1)-2H,CL,(17:1/18:2/18:2/16:1),M-2H,C78 H138 O17 P2,704.47098,27.942009,N,2,1408.940863,704.471014,B
CL(18:2/16:1/18:1/18:1)-2H,CL,(18:2/16:1/18:1/18:1),M-2H,C79 H142 O17 P2,712.486806,28.611018,N,2,1424.972515,712.486664,B
CL(17:1/18:1/20:3/16:1)-2H,CL,(17:1/18:1/20:3/16:1),M-2H,C80 H142 O17 P2,718.486641,28.417011,N,2,1436.972185,718.486664,B
CL(17:1/18:1/18:1/18:2)-2H,CL,(17:1/18:1/18:1/18:2),M-2H,C80 H144 O17 P2,719.494387,28.721615,N,2,1438.987677,719.494489,B
CL(18:2/16:1/20:4/18:2)-2H,CL,(18:2/16:1/20:4/18:2),M-2H,C81 H138 O17 P2,722.472071,27.730088,N,2,1444.943045,722.471014,B
CL(18:2/18:1/20:4/16:1)-2H,CL,(18:2/18:1/20:4/16:1),M-2H,C81 H140 O17 P2,723.479668,28.045807,N,2,1446.958239,723.478839,B
CL(18:2/18:1/18:1/18:2)-2H,CL,(18:2/18:1/18:1/18:2),M-2H,C81 H144 O17 P2,725.494884,30.710919,N,2,1450.988671,725.494489,B
CL(20:2/16:1/18:1/18:2)-2H,CL,(20:2/16:1/18:1/18:2),M-2H,C81 H144 O17 P2,725.496007,29.483497,N,2,1450.990917,725.494489,B
CL(18:2/18:1/18:1/18:1)-2H,CL,(18:2/18:1/18:1/18:1),M-2H,C81 H146 O17 P2,726.501625,30.158156,N,2,1453.002153,726.502314,B
CL(18:2/18:1/22:6/16:1)-2H,CL,(18:2/18:1/22:6/16:1),M-2H,C83 H140 O17 P2,735.479748,27.831531,N,2,1470.958399,735.478839,B
CL(18:2/18:1/22:5/16:1)-2H,CL,(18:2/18:1/22:5/16:1),M-2H,C83 H142 O17 P2,736.4877,27.935244,N,2,1472.974303,736.486664,B
CL(18:1/18:1/18:1/20:3)-2H,CL,(18:1/18:1/18:1/20:3),M-2H,C83 H148 O17 P2,739.511355,28.774638,N,2,1479.021613,739.510139,B
CL(20:4/18:1/20:3/18:2)-2H,CL,(20:4/18:1/20:3/18:2),M-2H,C85 H144 O17 P2,749.494046,27.997348,N,2,1498.986995,749.494489,B
DG(8:0/12:0)+NH4,DG,(8:0/12:0),M+NH4,C23 H48 O5 N1,418.351895,12.403432,P,1,418.3524435,418.3527005,B
LPE(16:0p)-H,LPE,(16:0p),M-H,C21 H43 O6 N1 P1,436.28333,9.663904,N,1,436.2827815,436.2833505,B
LPE(16:1)-H,LPE,(16:1),M-H,C21 H41 O7 N1 P1,450.262871,5.517102,N,1,450.2623225,450.2626155,B
LPE(18:1p)-H,LPE,(18:1p),M-H,C23 H45 O6 N1 P1,462.29935,9.422716,N,1,462.2988015,462.2990005,B
LPC(14:0)+H,LPC,(14:0),M+H,C22 H47 O7 N1 P1,468.308142,5.454437,P,1,468.3086905,468.3084685,B
LPC(15:1)+H,LPC,(15:1),M+H,C23 H47 O7 N1 P1,480.308219,8.774214,P,1,480.3087675,480.3084685,B
LPC(15:0)+H,LPC,(15:0),M+H,C23 H49 O7 N1 P1,482.323749,6.045158,P,1,482.3242975,482.3241185,B
LPC(16:0e)+H,LPC,(16:0e),M+H,C24 H53 O6 N1 P1,482.360472,9.380097,P,1,482.3610205,482.3605035,B
LPC(16:1)+H,LPC,(16:1),M+H,C24 H49 O7 N1 P1,494.323827,5.41492,P,1,494.3243755,494.3241185,B
LPC(16:0)+H,LPC,(16:0),M+H,C24 H51 O7 N1 P1,496.339444,7.32394,P,1,496.3399925,496.3397685,B
LPE(20:1)-H,LPE,(20:1),M-H,C25 H49 O7 N1 P1,506.324998,11.264838,N,1,506.3244495,506.3252155,B
LPC(18:1p)+H,LPC,(18:1p),M+H,C26 H53 O6 N1 P1,506.359904,8.309586,P,1,506.3604525,506.3605035,B
LPC(17:1)+H,LPC,(17:1),M+H,C25 H51 O7 N1 P1,508.339482,6.150285,P,1,508.3400305,508.3397685,B
LPC(18:0p)+H,LPC,(18:0p),M+H,C26 H55 O6 N1 P1,508.376194,8.84006,P,1,508.3767425,508.3761535,B
LPG(18:1)-H,LPG,(18:1),M-H,C24 H46 O9 N0 P1,509.288814,6.827761,N,1,509.2882655,509.2884965,B
LPC(18:3)+H,LPC,(18:3),M+H,C26 H49 O7 N1 P1,518.321463,7.091973,P,1,518.3220115,518.3241185,B
LPC(18:2)+H,LPC,(18:2),M+H,C26 H51 O7 N1 P1,520.339436,6.033917,P,1,520.3399845,520.3397685,B
LPC(18:1)+H,LPC,(18:1),M+H,C26 H53 O7 N1 P1,522.355111,7.415598,P,1,522.3556595,522.3554185,B
LPC(18:0)+H,LPC,(18:0),M+H,C26 H55 O7 N1 P1,524.370569,11.079869,P,1,524.3711175,524.3710685,B
LPS(18:0)+H,LPS,(18:0),M+H,C24 H49 O9 N1 P1,526.313741,9.179612,P,1,526.3142895,526.3139485,B
LPC(20:0p)+H,LPC,(20:0p),M+H,C28 H59 O6 N1 P1,536.407421,14.310783,P,1,536.4079695,536.4074535,B
LPC(20:4)+H,LPC,(20:4),M+H,C28 H51 O7 N1 P1,544.339537,5.605695,P,1,544.3400855,544.3397685,B
LPC(20:3)+H,LPC,(20:3),M+H,C28 H53 O7 N1 P1,546.3555,6.666348,P,1,546.3560485,546.3554185,B
LPC(20:2)+H,LPC,(20:2),M+H,C28 H55 O7 N1 P1,548.370584,8.408853,P,1,548.3711325,548.3710685,B
LPC(20:1)+H,LPC,(20:1),M+H,C28 H57 O7 N1 P1,550.386338,10.836788,P,1,550.3868865,550.3867185,B
LPC(20:0)+H,LPC,(20:0),M+H,C28 H59 O7 N1 P1,552.401645,13.712205,P,1,552.4021935,552.4023685,B
LPC(22:6)+H,LPC,(22:6),M+H,C30 H51 O7 N1 P1,568.33963,5.701802,P,1,568.3401785,568.3397685,B
LPC(22:1)+H,LPC,(22:1),M+H,C30 H61 O7 N1 P1,578.418045,13.864283,P,1,578.4185935,578.4180185,B
LPC(22:0)+H,LPC,(22:0),M+H,C30 H63 O7 N1 P1,580.431691,15.905759,P,1,580.4322395,580.4336685,B
DG(16:0/18:3)+H,DG,(16:0/18:3),M+H,C37 H67 O5,591.496009,24.276163,P,1,591.4965575,591.4983015,B
LPC(24:1)+H,LPC,(24:1),M+H,C32 H65 O7 N1 P1,606.448604,15.954278,P,1,606.4491525,606.4493185,B
LPC(24:0)+H,LPC,(24:0),M+H,C32 H67 O7 N1 P1,608.464001,18.242618,P,1,608.4645495,608.4649685,B
TG(8:0e/10:0/18:3)+H,TG,(8:0e/10:0/18:3),M+H,C39 H71 O5,619.527166,25.856878,P,1,619.5277145,619.5296015,B
LPC(26:1)+H,LPC,(26:1),M+H,C34 H69 O7 N1 P1,634.479651,17.573143,P,1,634.4801995,634.4806185,B
ChE(16:1)+NH4,ChE,(16:1),M+NH4,C43 H78 O2 N1,640.602578,29.80823,P,1,640.6031265,640.6027055,B
TG(8:0p/10:0/20:3)+H,TG,(8:0p/10:0/20:3),M+H,C41 H73 O5,645.54186,25.909999,P,1,645.5424085,645.5452515,B
LPC(28:0)+H,LPC,(28:0),M+H,C36 H75 O7 N1 P1,664.526489,19.382156,P,1,664.5270375,664.5275685,B
ChE(18:2)+NH4,ChE,(18:2),M+NH4,C45 H80 O2 N1,666.617038,29.204353,P,1,666.6175865,666.6183555,B
DG(18:0/20:1)+NH4,DG,(18:0/20:1),M+NH4,C41 H82 O5 N1,668.616725,27.469646,P,1,668.6172735,668.6187505,B
ChE(18:1)+NH4,ChE,(18:1),M+NH4,C45 H82 O2 N1,668.633203,29.518046,P,1,668.6337515,668.6340055,B
PE(16:0p/16:1)+H,PE,(16:0p/16:1),M+H,C37 H73 O7 N1 P1,674.511246,21.308561,P,1,674.5117945,674.5119185,B
PE(16:0p/16:0)+H,PE,(16:0p/16:0),M+H,C37 H75 O7 N1 P1,676.527226,23.193579,P,1,676.5277745,676.5275685,B
ChE(19:1)+NH4,ChE,(19:1),M+NH4,C46 H84 O2 N1,682.649124,30.266339,P,1,682.6496725,682.6496555,B
ChE(20:5)+NH4,ChE,(20:5),M+NH4,C47 H78 O2 N1,688.602073,28.646725,P,1,688.6026215,688.6027055,B
ChE(20:4)+NH4,ChE,(20:4),M+NH4,C47 H80 O2 N1,690.617456,29.004627,P,1,690.6180045,690.6183555,B
PC(16:0/13:0)+H,PC,(16:0/13:0),M+H,C37 H75 O8 N1 P1,692.522616,21.694105,P,1,692.5231645,692.5224835,B
