LipidIon,Class,FattyAcid,Ion,Formula,ObsMz,Rt,Pol.,z,ObsMass,CalcMz,Grade
PE(18:0p/16:0)+H,PE,(18:0p/16:0),M+H,C39 H79 O7 N1 P1,704.557798,24.300781,P,1,704.5583465,704.5588685,B
PE(18:1p/17:1)+H,PE,(18:1p/17:1),M+H,C40 H77 O7 N1 P1,714.542096,22.328071,P,1,714.5426445,714.5432185,B
ChE(22:6)+NH4,ChE,(22:6),M+NH4,C49 H80 O2 N1,714.617789,29.217156,P,1,714.6183375,714.6183555,B
PE(16:0p/19:1)+H,PE,(16:0p/19:1),M+H,C40 H79 O7 N1 P1,716.558072,23.338561,P,1,716.5586205,716.5588685,B
ChE(22:5)+NH4,ChE,(22:5),M+NH4,C49 H82 O2 N1,716.633146,29.849327,P,1,716.6336945,716.6340055,B
PG(16:1/16:1)-H,PG,(16:1/16:1),M-H,C38 H70 O10 N0 P1,717.47228,17.334852,N,1,717.4717315,717.4712115,B
SM(d16:1/16:1)+HCOO,SM,(d16:1/16:1),M+HCOO,C38 H74 O8 N2 P1,717.519392,16.506396,N,1,717.5188435,717.5188295,B
SM(d14:1/18:1)+HCOO,SM,(d14:1/18:1),M+HCOO,C38 H74 O8 N2 P1,717.519718,15.92275,N,1,717.5191695,717.5188295,B
dMePE(16:0/16:0)-H,dMePE,(16:0/16:0),M-H,C39 H77 O8 N1 P1,718.53475,21.179325,N,1,718.5342015,718.5392305,B
ChE(22:4)+NH4,ChE,(22:4),M+NH4,C49 H84 O2 N1,718.647484,29.623271,P,1,718.6480325,718.6496555,B
PG(18:1/14:0)-H,PG,(18:1/14:0),M-H,C38 H72 O10 N0 P1,719.487223,18.916897,N,1,719.4866745,719.4868615,B
SM(d18:1/14:0)+HCOO,SM,(d18:1/14:0),M+HCOO,C38 H76 O8 N2 P1,719.535103,17.677723,N,1,719.5345545,719.5344795,B
SM(d14:0/18:1)+HCOO,SM,(d14:0/18:1),M+HCOO,C38 H76 O8 N2 P1,719.535254,18.756499,N,1,719.5347055,719.5344795,B
ChE(22:3)+NH4,ChE,(22:3),M+NH4,C49 H86 O2 N1,720.66479,30.157761,P,1,720.6653385,720.6653055,B
ChE(22:2)+NH4,ChE,(22:2),M+NH4,C49 H88 O2 N1,722.679535,30.064954,P,1,722.6800835,722.6809555,B
PE(16:0p/20:4)+H,PE,(16:0p/20:4),M+H,C41 H75 O7 N1 P1,724.526823,21.057766,P,1,724.5273715,724.5275685,B
ChE(22:1)+NH4,ChE,(22:1),M+NH4,C49 H90 O2 N1,724.695343,30.779386,P,1,724.6958915,724.6966055,B
