m/z,var_m/z,max_int,sum_int,RT,minRT,maxRT,part_ID,EIC_ID,peak_ID,Score
404.0440063,7.08E-08,46346352,60145520.25,592.686,589.396,597.921,7335,7667,8022,0
94.98064995,1.46E-11,46205920,157813988,1579.49,1577.94,1585.15,1250,1611,929,0
147.0492592,2.05E-09,46082684,118322209.9,600.941,595.031,613.526,2607,3123,2672,0
215.0328861,8.02E-10,45848936,157280397.7,615.871,603.015,623.049,4035,4552,4427,0
155.0017497,1.55E-10,45184252,253577540,1528.91,1521.57,1533.36,2745,3272,2843,0
161.0454712,5.43E-09,45108184,97911732.06,582.159,570.776,587.182,2891,3417,3045,0
246.9812286,1.63E-10,45003576,216337332,1236.82,1233.67,1245.88,4704,5200,5233,0
203.0826935,4.36E-09,44464224,121236357.9,560.342,553.566,574.583,3829,4350,4192,0
91.02864647,2.76E-10,44452744,148894918.6,528.817,523.679,550.271,1144,1493,842,0
94.98064041,3.33E-11,44145664,321734660,1631.96,1626.44,1645.1,1250,1611,930,0
345.0156372,7.45E-10,44088936,209157608,1231.32,1223.34,1233.67,6491,6894,7159,0
155.0017548,1.16E-10,43997512,214264248,1550.13,1542.52,1553.43,2745,3272,2844,0
156.9907801,2.54E-10,43690856,660457045,1144.26,1135.65,1181.93,2791,3319,2904,0
155.0017598,7.76E-11,43490024,127177288,1541.1,1535.85,1541.1,2745,3272,2845,0
192.0230179,2.75E-08,42727040,122184179.5,603.015,592.686,610.912,3577,4101,3878,0
328.1280365,1.18E-08,42721900,99298820.25,663.405,658.043,670.575,6225,6646,6881,0
94.98063507,4.07E-11,42701156,180571438,1557.74,1550.13,1559.96,1250,1611,931,0
345.0156453,1.24E-09,42339528,119989552,1239.3,1236.82,1242.59,6491,6894,7160,0
345.0156403,1.84E-09,42256668,594406109,1217.7,1164.01,1220.18,6491,6894,7161,0
101.0244118,2.20E-09,41690320,92650167.94,579.409,563.091,587.182,1431,1819,1159,0
173.0090027,1.98E-08,39706328,98745182.98,587.182,577.197,597.921,3148,3671,3334,0
291.1312683,1.05E-08,39412072,77138131.31,661.194,655.782,665.883,5584,6052,6225,0
343.1704559,4.20E-08,39397688,52256296.27,180.107,174.582,190.002,6468,6871,7137,0
156.9907823,4.31E-10,38774428,768802656.4,1129.62,1042.05,1131.7,2791,3319,2905,0
115.003709,1.64E-10,38571664,107429635.5,587.182,584.909,600.941,1812,2226,1511,0
116.0717443,1.36E-10,38421916,93321998,630.093,630.093,634.916,1853,2275,1571,0
96.9697698,8.54E-10,37050560,130553119,597.921,584.909,597.921,1305,1677,1000,0
131.0906546,1.43E-09,36775484,125779828.1,573.398,566.084,579.409,2236,2716,2133,0
221.0604595,1.49E-07,35964876,74351965.41,680.413,673.592,698.744,4176,4692,4614,0
221.0122681,2.82E-08,35773080,71338800.17,528.817,523.679,539.177,4171,4687,4605,0
249.0220146,5.80E-09,35498964,56852656.19,610.912,605.278,613.526,4744,5243,5303,0
142.0201898,3.69E-10,33477536,349737920.1,1242.59,1239.3,1293.08,2490,2989,2466,0
204.9705505,1.32E-09,33118280,188422654.1,1272.54,1252.47,1288.5,3862,4383,4225,0
96.96970876,1.94E-11,33047174,88397840,682.894,680.413,685.915,1305,1677,1001,0
488.877449,7.26E-08,32675570,125723405.9,625.399,613.526,630.093,8394,8605,9225,0
142.0201976,7.76E-11,32665508,91016872,1231.32,1228.43,1233.67,2490,2989,2467,0
130.0509399,5.92E-10,32456828,77215740.2,533.936,513.557,557.997,2202,2678,2070,0
434.2779338,0.000815992,32257152,62454394.97,183.405,174.582,193.297,7733,8013,8458,0
328.9843961,2.23E-09,32007112,274488994.4,1258.37,1245.88,1282.43,6234,6654,6893,0
328.9844309,9.00E-10,32007036,171999892,1231.32,1220.18,1233.67,6234,6654,6894,0
101.0244253,1.46E-10,31838020,208901419.8,640.198,623.049,661.194,1431,1819,1160,0
143.0349454,1.79E-09,31734054,186376890.3,640.198,625.399,676.207,2519,3025,2514,0
134.943395,9.88E-11,31664414,204354760.6,625.399,605.278,632.841,2324,2812,2246,0
387.0264587,1.49E-09,31598696,170142138,1223.34,1220.18,1233.67,7107,7453,7800,0
106.0411377,0,31257378,56122622,240.087,237.592,243.395,1561,1957,1253,0
258.081248,1.37E-08,30937222,97029298.63,564.546,557.997,568.968,4950,5446,5534,0
179.0561035,6.15E-09,30918720,108328802.2,615.871,595.031,623.049,3311,3837,3551,0
119.0170237,1.36E-10,30854150,82820720,1661.47,1659.65,1663.29,1936,2371,1681,0
293.0320282,6.98E-06,30670392,42923273.06,528.817,523.679,536.154,5607,6074,6254,0
197.8079262,3.64E-09,30601436,88549335.16,536.154,531.312,548.86,3705,4227,4033,0
